"CUPS","Fecha","Hora","Consumo_kWh","Metodo_obtencion"
"ES0031102870658016TJ0F","04/01/2024","17","0,055","R"
"ES0031102870658016TJ0F","04/01/2024","18","0,072","R"
"ES0031102870658016TJ0F","04/01/2024","19","0,054","R"
"ES0031102870658016TJ0F","04/01/2024","20","0,054","R"
"ES0031102870658016TJ0F","04/01/2024","21","0,054","R"
"ES0031102870658016TJ0F","04/01/2024","22","0,066","R"
"ES0031102870658016TJ0F","04/01/2024","23","0,057","R"
"ES0031102870658016TJ0F","05/01/2024","0","0,115","R"
"ES0031102870658016TJ0F","05/01/2024","1","0,437","R"
"ES0031102870658016TJ0F","05/01/2024","2","0,062","R"
"ES0031102870658016TJ0F","05/01/2024","3","0,061","R"
"ES0031102870658016TJ0F","05/01/2024","4","0,055","R"
"ES0031102870658016TJ0F","05/01/2024","5","0,054","R"
"ES0031102870658016TJ0F","05/01/2024","6","0,059","R"
"ES0031102870658016TJ0F","05/01/2024","7","0,065","R"
"ES0031102870658016TJ0F","05/01/2024","8","0,055","R"
"ES0031102870658016TJ0F","05/01/2024","9","0,055","R"
"ES0031102870658016TJ0F","05/01/2024","10","0,055","R"
"ES0031102870658016TJ0F","05/01/2024","11","0,062","R"
"ES0031102870658016TJ0F","05/01/2024","12","0,096","R"
"ES0031102870658016TJ0F","05/01/2024","13","0,461","R"
"ES0031102870658016TJ0F","05/01/2024","14","0,058","R"
"ES0031102870658016TJ0F","05/01/2024","15","0,057","R"
"ES0031102870658016TJ0F","05/01/2024","16","0,063","R"
"ES0031102870658016TJ0F","05/01/2024","17","0,058","R"
"ES0031102870658016TJ0F","05/01/2024","18","0,055","R"
"ES0031102870658016TJ0F","05/01/2024","19","0,055","R"
"ES0031102870658016TJ0F","05/01/2024","20","0,104","R"
"ES0031102870658016TJ0F","05/01/2024","21","0,073","R"
"ES0031102870658016TJ0F","05/01/2024","22","0,061","R"
"ES0031102870658016TJ0F","05/01/2024","23","1,7","R"
"ES0031102870658016TJ0F","06/01/2024","0","1,776","R"
"ES0031102870658016TJ0F","06/01/2024","1","1,72","R"
"ES0031102870658016TJ0F","06/01/2024","2","0,355","R"
"ES0031102870658016TJ0F","06/01/2024","3","0,077","R"
"ES0031102870658016TJ0F","06/01/2024","4","0,059","R"
"ES0031102870658016TJ0F","06/01/2024","5","0,06","R"
"ES0031102870658016TJ0F","06/01/2024","6","0,07","R"
"ES0031102870658016TJ0F","06/01/2024","7","0,06","R"
"ES0031102870658016TJ0F","06/01/2024","8","0,059","R"
"ES0031102870658016TJ0F","06/01/2024","9","0,065","R"
"ES0031102870658016TJ0F","06/01/2024","10","0,492","R"
"ES0031102870658016TJ0F","06/01/2024","11","2,215","R"
"ES0031102870658016TJ0F","06/01/2024","12","1,163","R"
"ES0031102870658016TJ0F","06/01/2024","13","0,074","R"
"ES0031102870658016TJ0F","06/01/2024","14","0,083","R"
"ES0031102870658016TJ0F","06/01/2024","15","0,074","R"
"ES0031102870658016TJ0F","06/01/2024","16","0,074","R"
"ES0031102870658016TJ0F","06/01/2024","17","0,073","R"
"ES0031102870658016TJ0F","06/01/2024","18","0,075","R"
"ES0031102870658016TJ0F","06/01/2024","19","0,082","R"
"ES0031102870658016TJ0F","06/01/2024","20","0,072","R"
"ES0031102870658016TJ0F","06/01/2024","21","0,074","R"
"ES0031102870658016TJ0F","06/01/2024","22","0,074","R"
"ES0031102870658016TJ0F","06/01/2024","23","0,497","R"
"ES0031102870658016TJ0F","07/01/2024","0","0,075","R"
"ES0031102870658016TJ0F","07/01/2024","1","0,083","R"
"ES0031102870658016TJ0F","07/01/2024","2","0,075","R"
"ES0031102870658016TJ0F","07/01/2024","3","0,074","R"
"ES0031102870658016TJ0F","07/01/2024","4","0,074","R"
"ES0031102870658016TJ0F","07/01/2024","5","0,074","R"
"ES0031102870658016TJ0F","07/01/2024","6","0,071","R"
"ES0031102870658016TJ0F","07/01/2024","7","0,073","R"
"ES0031102870658016TJ0F","07/01/2024","8","0,078","R"
"ES0031102870658016TJ0F","07/01/2024","9","0,078","R"
"ES0031102870658016TJ0F","07/01/2024","10","0,513","R"
"ES0031102870658016TJ0F","07/01/2024","11","0,075","R"
"ES0031102870658016TJ0F","07/01/2024","12","0,074","R"
"ES0031102870658016TJ0F","07/01/2024","13","0,074","R"
"ES0031102870658016TJ0F","07/01/2024","14","0,079","R"
"ES0031102870658016TJ0F","07/01/2024","15","0,084","R"
"ES0031102870658016TJ0F","07/01/2024","16","0,086","R"
"ES0031102870658016TJ0F","07/01/2024","17","0,085","R"
"ES0031102870658016TJ0F","07/01/2024","18","0,078","R"
"ES0031102870658016TJ0F","07/01/2024","19","0,075","R"
"ES0031102870658016TJ0F","07/01/2024","20","0,073","R"
"ES0031102870658016TJ0F","07/01/2024","21","0,533","R"
"ES0031102870658016TJ0F","07/01/2024","22","0,701","R"
"ES0031102870658016TJ0F","07/01/2024","23","0,241","R"
"ES0031102870658016TJ0F","08/01/2024","0","0,17","R"
"ES0031102870658016TJ0F","08/01/2024","1","0,108","R"
"ES0031102870658016TJ0F","08/01/2024","2","0,076","R"
"ES0031102870658016TJ0F","08/01/2024","3","0,066","R"
"ES0031102870658016TJ0F","08/01/2024","4","0,437","R"
"ES0031102870658016TJ0F","08/01/2024","5","0,063","R"
"ES0031102870658016TJ0F","08/01/2024","6","0,061","R"
"ES0031102870658016TJ0F","08/01/2024","7","0,06","R"
"ES0031102870658016TJ0F","08/01/2024","8","0,177","R"
"ES0031102870658016TJ0F","08/01/2024","9","0,119","R"
"ES0031102870658016TJ0F","08/01/2024","10","0,119","R"
"ES0031102870658016TJ0F","08/01/2024","11","0,123","R"
"ES0031102870658016TJ0F","08/01/2024","12","0,513","R"
"ES0031102870658016TJ0F","08/01/2024","13","0,125","R"
"ES0031102870658016TJ0F","08/01/2024","14","0,131","R"
"ES0031102870658016TJ0F","08/01/2024","15","0,127","R"
"ES0031102870658016TJ0F","08/01/2024","16","0,572","R"
"ES0031102870658016TJ0F","08/01/2024","17","0,984","R"
"ES0031102870658016TJ0F","08/01/2024","18","0,473","R"
"ES0031102870658016TJ0F","08/01/2024","19","0,133","R"
"ES0031102870658016TJ0F","08/01/2024","20","0,091","R"
"ES0031102870658016TJ0F","08/01/2024","21","0,078","R"
"ES0031102870658016TJ0F","08/01/2024","22","0,184","R"
"ES0031102870658016TJ0F","08/01/2024","23","1,51","R"
"ES0031102870658016TJ0F","09/01/2024","0","2,393","R"
"ES0031102870658016TJ0F","09/01/2024","1","1,787","R"
"ES0031102870658016TJ0F","09/01/2024","2","0,302","R"
"ES0031102870658016TJ0F","09/01/2024","3","0,069","R"
"ES0031102870658016TJ0F","09/01/2024","4","0,069","R"
"ES0031102870658016TJ0F","09/01/2024","5","0,084","R"
"ES0031102870658016TJ0F","09/01/2024","6","0,068","R"
"ES0031102870658016TJ0F","09/01/2024","7","0,071","R"
"ES0031102870658016TJ0F","09/01/2024","8","0,282","R"
"ES0031102870658016TJ0F","09/01/2024","9","0,985","R"
"ES0031102870658016TJ0F","09/01/2024","10","0,894","R"
"ES0031102870658016TJ0F","09/01/2024","11","0,458","R"
"ES0031102870658016TJ0F","09/01/2024","12","0,44","R"
"ES0031102870658016TJ0F","09/01/2024","13","0,461","R"
"ES0031102870658016TJ0F","09/01/2024","14","0,211","R"
"ES0031102870658016TJ0F","09/01/2024","15","0,13","R"
"ES0031102870658016TJ0F","09/01/2024","16","0,55","R"
"ES0031102870658016TJ0F","09/01/2024","17","1,694","R"
"ES0031102870658016TJ0F","09/01/2024","18","1,299","R"
"ES0031102870658016TJ0F","09/01/2024","19","0,222","R"
"ES0031102870658016TJ0F","09/01/2024","20","0,247","R"
"ES0031102870658016TJ0F","09/01/2024","21","0,081","R"
"ES0031102870658016TJ0F","09/01/2024","22","0,097","R"
"ES0031102870658016TJ0F","09/01/2024","23","2,559","R"
"ES0031102870658016TJ0F","10/01/2024","0","1,52","R"
"ES0031102870658016TJ0F","10/01/2024","1","0,094","R"
"ES0031102870658016TJ0F","10/01/2024","2","0,082","R"
"ES0031102870658016TJ0F","10/01/2024","3","0,083","R"
"ES0031102870658016TJ0F","10/01/2024","4","0,08","R"
"ES0031102870658016TJ0F","10/01/2024","5","0,075","R"
"ES0031102870658016TJ0F","10/01/2024","6","0,231","R"
"ES0031102870658016TJ0F","10/01/2024","7","0,319","R"
"ES0031102870658016TJ0F","10/01/2024","8","0,141","R"
"ES0031102870658016TJ0F","10/01/2024","9","0,11","R"
"ES0031102870658016TJ0F","10/01/2024","10","0,125","R"
"ES0031102870658016TJ0F","10/01/2024","11","0,137","R"
"ES0031102870658016TJ0F","10/01/2024","12","0,465","R"
"ES0031102870658016TJ0F","10/01/2024","13","0,197","R"
"ES0031102870658016TJ0F","10/01/2024","14","0,126","R"
"ES0031102870658016TJ0F","10/01/2024","15","0,126","R"
"ES0031102870658016TJ0F","10/01/2024","16","0,207","R"
"ES0031102870658016TJ0F","10/01/2024","17","1,27","R"
"ES0031102870658016TJ0F","10/01/2024","18","0,497","R"
"ES0031102870658016TJ0F","10/01/2024","19","0,186","R"
"ES0031102870658016TJ0F","10/01/2024","20","0,166","R"
"ES0031102870658016TJ0F","10/01/2024","21","0,1","R"
"ES0031102870658016TJ0F","10/01/2024","22","0,473","R"
"ES0031102870658016TJ0F","10/01/2024","23","2,66","R"
"ES0031102870658016TJ0F","11/01/2024","0","2,091","R"
"ES0031102870658016TJ0F","11/01/2024","1","2,179","R"
"ES0031102870658016TJ0F","11/01/2024","2","0,09","R"
"ES0031102870658016TJ0F","11/01/2024","3","0,074","R"
"ES0031102870658016TJ0F","11/01/2024","4","0,074","R"
"ES0031102870658016TJ0F","11/01/2024","5","0,083","R"
"ES0031102870658016TJ0F","11/01/2024","6","0,073","R"
"ES0031102870658016TJ0F","11/01/2024","7","0,071","R"
"ES0031102870658016TJ0F","11/01/2024","8","0,629","R"
"ES0031102870658016TJ0F","11/01/2024","9","0,679","R"
"ES0031102870658016TJ0F","11/01/2024","10","0,128","R"
"ES0031102870658016TJ0F","11/01/2024","11","0,136","R"
"ES0031102870658016TJ0F","11/01/2024","12","0,135","R"
"ES0031102870658016TJ0F","11/01/2024","13","0,139","R"
"ES0031102870658016TJ0F","11/01/2024","14","0,137","R"
"ES0031102870658016TJ0F","11/01/2024","15","0,128","R"
"ES0031102870658016TJ0F","11/01/2024","16","1,489","R"
"ES0031102870658016TJ0F","11/01/2024","17","0,428","R"
"ES0031102870658016TJ0F","11/01/2024","18","0,123","R"
"ES0031102870658016TJ0F","11/01/2024","19","0,541","R"
"ES0031102870658016TJ0F","11/01/2024","20","0,101","R"
"ES0031102870658016TJ0F","11/01/2024","21","0,396","R"
"ES0031102870658016TJ0F","11/01/2024","22","0,082","R"
"ES0031102870658016TJ0F","11/01/2024","23","0,081","R"
"ES0031102870658016TJ0F","12/01/2024","0","1,414","R"
"ES0031102870658016TJ0F","12/01/2024","1","1,853","R"
"ES0031102870658016TJ0F","12/01/2024","2","0,482","R"
"ES0031102870658016TJ0F","12/01/2024","3","0,088","R"
"ES0031102870658016TJ0F","12/01/2024","4","0,076","R"
"ES0031102870658016TJ0F","12/01/2024","5","0,076","R"
"ES0031102870658016TJ0F","12/01/2024","6","0,09","R"
"ES0031102870658016TJ0F","12/01/2024","7","0,075","R"
"ES0031102870658016TJ0F","12/01/2024","8","0,1","R"
"ES0031102870658016TJ0F","12/01/2024","9","0,563","R"
"ES0031102870658016TJ0F","12/01/2024","10","0,124","R"
"ES0031102870658016TJ0F","12/01/2024","11","0,13","R"
"ES0031102870658016TJ0F","12/01/2024","12","0,14","R"
"ES0031102870658016TJ0F","12/01/2024","13","0,129","R"
"ES0031102870658016TJ0F","12/01/2024","14","0,127","R"
"ES0031102870658016TJ0F","12/01/2024","15","0,139","R"
"ES0031102870658016TJ0F","12/01/2024","16","1,663","R"
"ES0031102870658016TJ0F","12/01/2024","17","0,365","R"
"ES0031102870658016TJ0F","12/01/2024","18","0,454","R"
"ES0031102870658016TJ0F","12/01/2024","19","0,303","R"
"ES0031102870658016TJ0F","12/01/2024","20","0,169","R"
"ES0031102870658016TJ0F","12/01/2024","21","0,072","R"
"ES0031102870658016TJ0F","12/01/2024","22","0,07","R"
"ES0031102870658016TJ0F","12/01/2024","23","0,065","R"
"ES0031102870658016TJ0F","13/01/2024","0","0,067","R"
"ES0031102870658016TJ0F","13/01/2024","1","0,076","R"
"ES0031102870658016TJ0F","13/01/2024","2","0,067","R"
"ES0031102870658016TJ0F","13/01/2024","3","0,063","R"
"ES0031102870658016TJ0F","13/01/2024","4","0,07","R"
"ES0031102870658016TJ0F","13/01/2024","5","0,078","R"
"ES0031102870658016TJ0F","13/01/2024","6","0,073","R"
"ES0031102870658016TJ0F","13/01/2024","7","0,073","R"
"ES0031102870658016TJ0F","13/01/2024","8","0,069","R"
"ES0031102870658016TJ0F","13/01/2024","9","0,063","R"
"ES0031102870658016TJ0F","13/01/2024","10","0,07","R"
"ES0031102870658016TJ0F","13/01/2024","11","0,402","R"
"ES0031102870658016TJ0F","13/01/2024","12","0,066","R"
"ES0031102870658016TJ0F","13/01/2024","13","0,067","R"
"ES0031102870658016TJ0F","13/01/2024","14","0,067","R"
"ES0031102870658016TJ0F","13/01/2024","15","0,065","R"
"ES0031102870658016TJ0F","13/01/2024","16","0,073","R"
"ES0031102870658016TJ0F","13/01/2024","17","0,07","R"
"ES0031102870658016TJ0F","13/01/2024","18","0,065","R"
"ES0031102870658016TJ0F","13/01/2024","19","0,063","R"
"ES0031102870658016TJ0F","13/01/2024","20","0,485","R"
"ES0031102870658016TJ0F","13/01/2024","21","0,066","R"
"ES0031102870658016TJ0F","13/01/2024","22","0,075","R"
"ES0031102870658016TJ0F","13/01/2024","23","0,069","R"
"ES0031102870658016TJ0F","14/01/2024","0","0,068","R"
"ES0031102870658016TJ0F","14/01/2024","1","0,065","R"
"ES0031102870658016TJ0F","14/01/2024","2","0,068","R"
"ES0031102870658016TJ0F","14/01/2024","3","0,074","R"
"ES0031102870658016TJ0F","14/01/2024","4","0,072","R"
"ES0031102870658016TJ0F","14/01/2024","5","0,073","R"
"ES0031102870658016TJ0F","14/01/2024","6","0,463","R"
"ES0031102870658016TJ0F","14/01/2024","7","0,112","R"
"ES0031102870658016TJ0F","14/01/2024","8","0,066","R"
"ES0031102870658016TJ0F","14/01/2024","9","0,068","R"
"ES0031102870658016TJ0F","14/01/2024","10","0,066","R"
"ES0031102870658016TJ0F","14/01/2024","11","0,066","R"
"ES0031102870658016TJ0F","14/01/2024","12","0,07","R"
"ES0031102870658016TJ0F","14/01/2024","13","0,075","R"
"ES0031102870658016TJ0F","14/01/2024","14","0,077","R"
"ES0031102870658016TJ0F","14/01/2024","15","0,079","R"
"ES0031102870658016TJ0F","14/01/2024","16","0,081","R"
"ES0031102870658016TJ0F","14/01/2024","17","0,528","R"
"ES0031102870658016TJ0F","14/01/2024","18","0,07","R"
"ES0031102870658016TJ0F","14/01/2024","19","0,067","R"
"ES0031102870658016TJ0F","14/01/2024","20","0,069","R"
"ES0031102870658016TJ0F","14/01/2024","21","0,076","R"
"ES0031102870658016TJ0F","14/01/2024","22","0,107","R"
"ES0031102870658016TJ0F","14/01/2024","23","0,166","R"
"ES0031102870658016TJ0F","15/01/2024","0","0,239","R"
"ES0031102870658016TJ0F","15/01/2024","1","0,13","R"
"ES0031102870658016TJ0F","15/01/2024","2","0,077","R"
"ES0031102870658016TJ0F","15/01/2024","3","0,529","R"
"ES0031102870658016TJ0F","15/01/2024","4","0,081","R"
"ES0031102870658016TJ0F","15/01/2024","5","0,084","R"
"ES0031102870658016TJ0F","15/01/2024","6","0,076","R"
"ES0031102870658016TJ0F","15/01/2024","7","0,077","R"
"ES0031102870658016TJ0F","15/01/2024","8","0,242","R"
"ES0031102870658016TJ0F","15/01/2024","9","0,113","R"
"ES0031102870658016TJ0F","15/01/2024","10","0,126","R"
"ES0031102870658016TJ0F","15/01/2024","11","0,13","R"
"ES0031102870658016TJ0F","15/01/2024","12","0,137","R"
"ES0031102870658016TJ0F","15/01/2024","13","0,563","R"
"ES0031102870658016TJ0F","15/01/2024","14","0,127","R"
"ES0031102870658016TJ0F","15/01/2024","15","0,136","R"
"ES0031102870658016TJ0F","15/01/2024","16","0,227","R"
"ES0031102870658016TJ0F","15/01/2024","17","0,136","R"
"ES0031102870658016TJ0F","15/01/2024","18","0,131","R"
"ES0031102870658016TJ0F","15/01/2024","19","0,212","R"
"ES0031102870658016TJ0F","15/01/2024","20","0,151","R"
"ES0031102870658016TJ0F","15/01/2024","21","0,088","R"
"ES0031102870658016TJ0F","15/01/2024","22","0,914","R"
"ES0031102870658016TJ0F","15/01/2024","23","2,104","R"
"ES0031102870658016TJ0F","16/01/2024","0","0,929","R"
"ES0031102870658016TJ0F","16/01/2024","1","0,09","R"
"ES0031102870658016TJ0F","16/01/2024","2","0,084","R"
